START_DATE;END_DATE;CATEGORY*;START;STOP;MILES;PURPOSEroute
3.18.2016 7:15;3.18.2016 7:21;Business;Midtown;Midtown;44927;Meal/Entertain
3.18.2016 8:35;3.18.2016 8:43;Business;Midtown;Midtown;44927;Meal/Entertain
3.18.2016 18:24;3.18.2016 19:08;Business;Midtown;Sharpstown;44970;Meeting
3.19.2016 9:10;3.19.2016 9:25;Business;Midtown;Sharpstown;45025;Meal/Entertain
3.19.2016 17:17;3.19.2016 17:32;Business;Galveston;Port Bolivar;44929;Meal/Entertain
3.19.2016 19:33;3.19.2016 20:39;Business;Galveston;Houston;57;Customer Visit
3.20.2016 7:37;3.20.2016 7:48;Business;Midtown;Washington Avenue;45174;Meeting
3.20.2016 17:08;3.20.2016 17:34;Business;Midtown;Sharpstown;45026;
3.20.2016 18:45;3.20.2016 19:06;Business;Briar Meadow;Midtown;45086;Customer Visit
3.21.2016 10:21;3.21.2016 10:26;Personal;Midtown;Downtown;1;
3.21.2016 18:59;3.21.2016 19:15;Business;Midtown;Sharpstown;45146;
3.22.2016 6:17;3.22.2016 6:43;Business;Midtown;Greater Greenspoint;23;Meal/Entertain
3.22.2016 12:06;3.22.2016 12:24;Personal;Morrisville;Cary;44934;
3.29.2016 18:20;3.29.2016 18:39;Personal;Sand Lake Commons;Sky Lake;44963;
3.29.2016 20:29;3.29.2016 20:44;Personal;Sky Lake;Sand Lake Commons;6;
04.12.2016 13:42;04.12.2016 14:01;Business;Morrisville;Cary;45052;Meal/Entertain
4.16.2016 15:10;4.16.2016 15:26;Business;Morrisville;Cary;44932;Meal/Entertain
4.28.2016 22:10;4.28.2016 22:28;Business;Morrisville;Cary;45051;Customer Visit
05.03.2016 22:20;05.03.2016 22:28;Business;Morrisville;Cary;45048;Meal/Entertain
05.04.2016 21:30;05.04.2016 21:36;Business;Capitol One;University District;45050;Meal/Entertain
05.06.2016 5:47;05.06.2016 6:02;Business;Capitol One;Mcvan;45030;Meeting
05.06.2016 16:45;05.06.2016 16:59;Business;Chapel Hill;Morrisville;17;Meeting
05.06.2016 17:18;05.06.2016 17:44;Business;Morrisville;Cary;45176;Customer Visit
05.11.2016 21:47;05.11.2016 22:04;Business;Morrisville;Cary;44934;Meeting
5.14.2016 23:01;5.14.2016 23:05;Business;Morrisville;Cary;44929;Meal/Entertain
5.18.2016 13:00;5.18.2016 13:02;Business;Morrisville;Raleigh;45084;Customer Visit
5.20.2016 15:43;5.20.2016 16:12;Business;Morrisville;Cary;44965;Meal/Entertain
5.22.2016 18:46;5.22.2016 18:53;Business;Morrisville;Cary;45048;Meal/Entertain
5.27.2016 20:47;5.27.2016 20:53;Business;Savon Height;Kilarney Woods;44958;
5.28.2016 14:35;5.28.2016 15:04;Business;Morrisville;Cary;44996;Customer Visit
06.01.2016 13:10;06.01.2016 13:39;Business;Morrisville;Cary;45086;Meeting
06.05.2016 18:05;06.05.2016 18:14;Business;Morrisville;Cary;45048;Meal/Entertain
06.06.2016 21:08;06.06.2016 21:37;Business;Apex;Cary;44964;Meal/Entertain
06.11.2016 17:34;06.11.2016 17:39;Business;Morrisville;Cary;45081;Meal/Entertain
6.15.2016 16:37;6.15.2016 17:02;Business;Lower Garden District;Lakeview;45022;Customer Visit
6.16.2016 14:42;6.16.2016 14:46;Business;Metairie;Kenner;45109;
6.18.2016 0:29;6.18.2016 0:51;Business;Morrisville;Cary;45115;
6.25.2016 10:50;6.25.2016 11:18;Business;Arabi;Metairie;17;Meal/Entertain
6.25.2016 11:53;6.25.2016 13:21;Business;Metairie;New Orleans;45061;Meeting
6.25.2016 23:19;6.25.2016 23:26;Business;Marigny;Storyville;45047;
6.27.2016 11:30;6.27.2016 11:42;Business;Mandeville;Mandeville;45140;
6.27.2016 12:22;6.27.2016 13:02;Business;Mandeville;Metairie;30;
6.27.2016 13:56;6.27.2016 14:05;Business;Metairie;Kenner;45020;
6.28.2016 0:48;6.28.2016 1:05;Business;Morrisville;Cary;44965;Customer Visit
6.29.2016 10:22;6.29.2016 10:38;Business;Morrisville;Cary;45023;
07.06.2016 0:33;07.06.2016 0:53;Business;Morrisville;Cary;44991;Meal/Entertain
07.06.2016 23:46;07.06.2016 23:59;Business;Morrisville;Cary;44929;Customer Visit
07.07.2016 10:27;07.07.2016 10:33;Business;Morrisville;Cary;45177;
07.09.2016 10:15;07.09.2016 10:33;Business;Metairie;New Orleans;45054;
07.12.2016 23:47;7.13.2016 0:11;Personal;Morrisville;Cary;45115;
7.13.2016 13:25;7.13.2016 13:39;Personal;Morrisville;Morrisville;44959;
7.13.2016 13:42;7.13.2016 13:54;Personal;Morrisville;Cary;45020;
7.14.2016 16:39;7.14.2016 20:05;Business;Morrisville;Banner Elk;195.3;
7.16.2016 19:42;7.16.2016 20:35;Personal;Boone;Banner Elk;45161;
7.18.2016 10:54;7.18.2016 11:15;Personal;Morrisville;Cary;44932;Moving
7.18.2016 18:32;7.18.2016 18:47;Business;Apex;Cary;45051;Meal/Entertain
7.18.2016 21:11;7.18.2016 21:19;Business;Morrisville;Cary;45141;Meal/Entertain
7.19.2016 17:50;7.19.2016 18:08;Personal;Chessington;Whitebridge;45142;
7.21.2016 19:30;7.21.2016 19:39;Business;Morrisville;Cary;45171;
7.22.2016 11:11;7.22.2016 11:25;Business;Morrisville;Cary;44931;
7.22.2016 15:49;7.22.2016 16:22;Business;Morrisville;Cary;44969;
7.23.2016 14:48;7.23.2016 15:12;Business;Morrisville;Cary;45055;
7.23.2016 15:50;7.23.2016 16:10;Business;Morrisville;Cary;44991;
7.25.2016 11:04;7.25.2016 11:33;Business;Morrisville;Cary;45176;
7.26.2016 22:31;7.26.2016 22:39;Business;Morrisville;Cary;45048;Meal/Entertain
7.27.2016 21:34;7.27.2016 21:57;Business;Morrisville;Raleigh;45121;
7.28.2016 0:04;7.28.2016 0:09;Business;Morrisville;Cary;44987;
08.01.2016 15:40;08.01.2016 15:47;Business;Apex;Cary;45081;
08.01.2016 17:23;08.01.2016 17:55;Business;Morrisville;Cary;44934;
08.02.2016 11:51;08.02.2016 12:15;Business;Arlington;Washington;45173;
08.05.2016 19:17;08.05.2016 19:27;Business;Columbia Heights;Kalorama Triangle;45047;
08.06.2016 9:31;08.06.2016 9:53;Business;Morrisville;Cary;8;
08.07.2016 20:15;08.07.2016 20:23;Business;Morrisville;Cary;45048;Meal/Entertain
08.08.2016 23:28;08.08.2016 23:37;Business;Morrisville;Cary;44960;Customer Visit
08.10.2016 18:49;08.10.2016 18:50;Business;Apex;Apex;1;
08.10.2016 19:47;08.10.2016 20:02;Business;Apex;Cary;6;
10.15.2016 22:28;10.15.2016 22:48;Business;Morrisville;Morrisville;44963;
10.16.2016 0:01;10.16.2016 0:14;Business;Morrisville;Cary;44929;
10.16.2016 15:10;10.16.2016 15:19;Business;Morrisville;Cary;44929;
10.16.2016 21:34;10.16.2016 21:41;Business;Morrisville;Cary;45048;Meal/Entertain
10.17.2016 18:31;10.17.2016 18:45;Business;Apex;Apex;44988;
10.17.2016 19:08;10.17.2016 19:25;Business;Apex;Cary;44990;
10.19.2016 13:45;10.19.2016 13:56;Business;SOMISSPO;French Quarter;45108;
10.20.2016 20:44;10.20.2016 21:37;Business;San Jose;Emeryville;44.6;
10.22.2016 0:54;10.22.2016 1:09;Business;Morrisville;Cary;45115;
10.23.2016 21:10;10.23.2016 21:25;Business;Morrisville;Cary;44929;Customer Visit
10.24.2016 16:34;10.24.2016 16:41;Business;Morrisville;Cary;44959;
10.25.2016 15:04;10.25.2016 15:11;Business;Apex;Eagle Rock;44959;
10.25.2016 20:54;10.25.2016 21:03;Business;Savon Height;Parkway;45173;
10.27.2016 19:20;10.27.2016 19:35;Business;Morrisville;Morrisville;45174;
10.27.2016 21:26;10.27.2016 21:48;Business;Morrisville;Cary;44963;
10.29.2016 17:13;10.29.2016 19:19;Business;Hayesville;Topton;75.7;
10.30.2016 9:07;10.30.2016 10:09;Business;Bryson City;Bryson City;45001;
10.30.2016 10:11;10.30.2016 10:38;Business;Bryson City;Bryson City;45052;
10.30.2016 10:51;10.30.2016 11:21;Business;Bryson City;Bryson City;44991;
10.30.2016 12:24;10.30.2016 12:35;Business;Bryson City;Almond;45083;
10.30.2016 12:58;10.30.2016 13:18;Business;Almond;Bryson City;44972;
10.30.2016 13:24;10.30.2016 14:37;Business;Bryson City;Asheville;68.4;
10.31.2016 18:47;10.31.2016 19:16;Business;Morrisville;Raleigh;44995;
11.02.2016 17:34;11.02.2016 17:49;Business;Morrisville;Morrisville;5;
11.02.2016 17:53;11.02.2016 18:00;Business;Morrisville;Cary;45141;
11.03.2016 22:46;11.03.2016 22:58;Business;Morrisville;Cary;44929;Customer Visit
11.04.2016 18:14;11.04.2016 18:21;Business;San Jose;Santa Clara;45141;
11.04.2016 21:04;11.04.2016 21:20;Business;Agnew;Cory;44989;
11.05.2016 8:34;11.05.2016 8:43;Business;Agnew;Renaissance;44959;
11.05.2016 19:20;11.05.2016 19:28;Business;Agnew;Agnew;44959;
11.06.2016 10:50;11.06.2016 11:04;Business;Agnew;Renaissance;45018;
11.06.2016 16:27;11.06.2016 17:28;Business;Santa Clara;Berkeley;43.9;Customer Visit
11.10.2016 14:57;11.10.2016 15:07;Business;SOMISSPO;Tenderloin;44927;
11.11.2016 21:08;11.11.2016 21:18;Business;College Avenue;Central;45079;
11.12.2016 10:55;11.12.2016 11:25;Business;South;Downtown;45022;
11.12.2016 15:14;11.12.2016 15:21;Business;South;Southwest Berkeley;0.8;
11.13.2016 13:14;11.13.2016 13:18;Business;South Berkeley;Southside;0.9;
11.18.2016 21:23;11.18.2016 21:34;Business;Morrisville;Cary;44962;Meal/Entertain
11.19.2016 21:14;11.19.2016 21:35;Business;Apex;Cary;45021;Customer Visit
11.22.2016 21:02;11.22.2016 21:14;Business;Morrisville;Cary;45049;Customer Visit
11.26.2016 17:36;11.26.2016 17:56;Business;Apex;Holly Springs;9;Meeting
11.27.2016 18:55;11.27.2016 19:09;Business;Morrisville;Cary;45171;
11.30.2016 12:43;11.30.2016 12:53;Business;Morrisville;Cary;44929;
12.01.2016 20:36;12.01.2016 20:46;Business;Morrisville;Cary;45171;Customer Visit
12.02.2016 13:07;12.02.2016 13:22;Business;Apex;Cary;44990;Customer Visit
12.02.2016 22:59;12.02.2016 23:07;Business;Morrisville;Cary;3;Customer Visit
12.03.2016 20:31;12.03.2016 20:41;Business;Morrisville;Cary;3;Customer Visit
12.04.2016 20:23;12.04.2016 20:34;Business;Morrisville;Cary;45019;Customer Visit
12.09.2016 13:15;12.09.2016 13:43;Business;Apex;Cary;45146;Temporary Site
12.10.2016 22:09;12.10.2016 22:21;Business;Morrisville;Cary;44929;Customer Visit
12.12.2016 14:26;12.12.2016 14:39;Business;Apex;Cary;45111;Customer Visit
12.12.2016 20:48;12.12.2016 20:57;Business;Morrisville;Cary;3;Customer Visit
12.14.2016 20:24;12.14.2016 20:40;Business;Morrisville;Cary;44929;Customer Visit
7.26.2016 22:31;7.26.2016 22:39;Business;Morrisville;Cary;45048;Meal/Entertain
7.26.2016 22:31;7.26.2016 22:39;Business;Morrisville;Cary;45048;Meal/Entertain
